dt(cam)	frame	LO	AO
0.0000	0000	0.0662	0.0000
0.0006	0001	0.0662	0.0000
0.0044	0002	0.0662	0.0000
0.0143	0003	0.0662	0.0000
0.0299	0004	0.0662	0.0000
0.1902	0005	0.0662	0.0000
0.3520	0006	0.0662	0.0000
0.5596	0007	0.0659	0.0000
0.6768	0008	0.0659	0.0000
0.8446	0009	0.0659	0.0000
1.0416	0010	0.0659	0.0000
1.2232	0011	0.0659	0.0000
1.3474	0012	0.0659	0.0000
1.5058	0013	0.0659	0.0000
1.6765	0014	0.0617	0.0000
1.8390	0015	0.0617	0.0000
2.0034	0016	0.0617	0.0000
2.1710	0017	0.0617	0.0000
2.3382	0018	0.0617	0.0000
2.5420	0019	0.0090	0.0000
2.6645	0020	0.0090	0.0000
2.8340	0021	0.0090	0.0000
2.9956	0022	0.0090	0.0000
3.1846	0023	0.0090	-2.2395
3.3274	0024	0.0090	0.3220
3.5021	0025	-0.0121	0.2035
3.6583	0026	-0.0121	0.2035
3.8239	0027	-0.0121	0.2035
3.9936	0028	-0.0121	0.2035
4.1670	0029	-0.0121	0.2035
4.3219	0030	-0.0121	0.2035
4.4857	0031	-0.0121	0.2025
4.6513	0032	0.0139	0.1774
4.8177	0033	0.0139	0.1774
4.9947	0034	0.0139	0.1774
5.1502	0035	0.0139	0.1774
5.3150	0036	0.0139	0.1774
5.4835	0037	0.0139	0.1774
5.6450	0038	-0.0124	0.1220
5.8107	0039	-0.0124	0.1220
6.0202	0040	-0.0124	0.1220
6.1416	0041	-0.0124	0.1220
6.3104	0042	-0.0124	0.1220
6.4954	0043	-0.0124	-0.0442
6.6386	0044	-0.0026	0.0254
6.8036	0045	-0.0026	0.0254
6.9749	0046	-0.0026	0.0254
7.1359	0047	-0.0026	0.0254
7.3044	0048	-0.0026	0.0254
7.4674	0049	-0.0026	0.0254
7.6363	0050	-0.0051	-0.0105
7.8017	0051	-0.0051	-0.0105
8.0188	0052	-0.0051	-0.0105
8.1284	0053	-0.0051	-0.0105
8.3335	0054	-0.0051	-0.0105
8.4604	0055	-0.0051	-0.0105
8.6328	0056	-0.0146	0.0034
8.8421	0057	-0.0146	-0.0116
8.9583	0058	-0.0146	-0.0116
9.1321	0059	-0.0146	-0.0116
9.2916	0060	-0.0146	-0.0116
9.4544	0061	-0.0146	-0.0116
9.6200	0062	0.0115	0.0032
9.7993	0063	0.0115	0.0194
9.9956	0064	0.0115	0.0194
10.1155	0065	0.0115	0.0194
10.3320	0066	0.0115	0.0194
10.4710	0067	0.0115	0.0194
10.6141	0068	-0.0060	0.0432
10.8243	0069	-0.0060	0.0067
10.9469	0070	-0.0060	0.0067
11.1176	0071	-0.0060	0.0067
11.2803	0072	-0.0060	0.0067
11.4476	0073	-0.0060	0.0067
11.6175	0074	-0.0102	0.0122
11.7798	0075	-0.0102	0.0995
11.9464	0076	-0.0102	0.0995
12.1124	0077	-0.0102	0.0995
12.3102	0078	-0.0102	0.0995
12.4455	0079	-0.0102	0.0995
12.6124	0080	-0.0093	0.0752
12.7788	0081	-0.0093	0.0699
12.9450	0082	-0.0093	0.0699
13.1198	0083	-0.0093	0.0699
13.2776	0084	-0.0093	0.0699
13.4454	0085	-0.0093	0.0699
13.6107	0086	-0.0093	0.0699
13.7863	0087	-0.0093	0.0622
13.9439	0088	-0.0093	0.0622
14.1106	0089	-0.0170	-0.0142
14.2806	0090	-0.0170	-0.0142
14.4430	0091	-0.0170	-0.0142
14.6100	0092	-0.0111	-0.0205
14.7766	0093	-0.0111	-0.0667
14.9425	0094	-0.0111	-0.0667
15.1103	0095	-0.0111	-0.0667
15.2769	0096	-0.0111	-0.0667
15.4422	0097	-0.0111	-0.0667
15.6096	0098	0.0086	-0.0845
15.7754	0099	0.0086	-0.1114
15.9433	0100	0.0086	-0.1114
16.1096	0101	0.0086	-0.1114
16.2749	0102	0.0086	-0.1114
16.4423	0103	0.0086	-0.1114
16.6075	0104	0.0209	-0.1062
16.7755	0105	0.0209	-0.1306
16.9409	0106	0.0209	-0.1306
17.1146	0107	0.0209	-0.1306
17.2732	0108	0.0209	-0.1306
17.4400	0109	0.0209	-0.1306
17.6080	0110	0.0392	-0.1334
17.7821	0111	0.0392	-0.1334
17.9403	0112	0.0392	-0.1334
18.1161	0113	0.0392	-0.1334
18.2305	0114	0.0392	-0.1061
18.4026	0115	0.0392	-0.1061
18.5646	0116	0.0458	-0.0942
18.7317	0117	0.0458	-0.1067
18.9036	0118	0.0458	-0.1067
19.0795	0119	0.0458	-0.1067
19.2227	0120	0.0458	-0.1067
19.3895	0121	0.0458	-0.1067
19.5698	0122	0.0575	-0.1028
19.7187	0123	0.0575	-0.0908
19.8852	0124	0.0575	-0.0908
20.0511	0125	0.0575	-0.0908
20.2154	0126	0.0575	-0.0908
20.3835	0127	0.0575	-0.0908
20.5500	0128	0.0533	-0.0644
20.7147	0129	0.0533	-0.0585
20.8786	0130	0.0533	-0.0585
21.0448	0131	0.0533	-0.0585
21.2123	0132	0.0533	-0.0585
21.3784	0133	0.0533	-0.0585
21.5445	0134	0.0573	-0.0520
21.7100	0135	0.0573	-0.0315
21.8715	0136	0.0573	-0.0315
22.0397	0137	0.0573	-0.0315
22.2028	0138	0.0573	-0.0315
22.3735	0139	0.0573	-0.0315
22.5358	0140	0.0666	-0.0379
22.7000	0141	0.0666	-0.0354
22.8651	0142	0.0666	-0.0354
23.0345	0143	0.0666	-0.0354
23.1965	0144	0.0666	-0.0354
23.3642	0145	0.0666	-0.0354
23.5487	0146	0.0713	-0.0347
23.6928	0147	0.0713	-0.0230
23.8769	0148	0.0713	-0.0230
24.0384	0149	0.0713	-0.0230
24.1963	0150	0.0713	-0.0230
24.3585	0151	0.0713	-0.0230
24.5596	0152	0.0727	-0.0204
24.7301	0153	0.0727	-0.0328
24.8527	0154	0.0727	-0.0328
25.0223	0155	0.0727	-0.0328
25.1944	0156	0.0727	-0.0328
25.3528	0157	0.0727	-0.0328
25.5512	0158	0.0759	-0.0305
25.6797	0159	0.0759	-0.0313
25.8457	0160	0.0759	-0.0313
26.0111	0161	0.0759	-0.0313
26.1798	0162	0.0759	-0.0313
26.3666	0163	0.0759	-0.0313
26.5094	0164	0.0682	-0.0146
26.6995	0165	0.0682	-0.0026
26.8396	0166	0.0682	-0.0026
27.0122	0167	0.0682	-0.0026
27.1782	0168	0.0682	-0.0026
27.3543	0169	0.0682	-0.0026
27.5432	0170	0.0346	0.0404
27.6678	0171	0.0346	0.0570
27.8337	0172	0.0346	0.0570
28.0014	0173	0.0346	0.0570
28.2112	0174	0.0346	0.0570
28.3308	0175	0.0346	0.0570
28.5352	0176	-0.0043	0.0913
28.6609	0177	-0.0043	0.1134
28.8272	0178	-0.0043	0.1134
28.9971	0179	-0.0043	0.1134
29.1919	0180	-0.0043	0.1134
29.3228	0181	-0.0043	0.1134
29.4893	0182	-0.0043	0.1134
29.6623	0183	-0.0112	0.1275
29.8225	0184	-0.0112	0.1275
29.9875	0185	-0.0112	0.1275
30.1649	0186	-0.0112	0.1275
30.3641	0187	-0.0112	0.1275
30.4834	0188	-0.0112	0.1275
30.6539	0189	-0.0000	0.1542
30.8168	0190	-0.0000	0.1542
31.0056	0191	-0.0000	0.1542
31.1753	0192	-0.0000	0.1542
31.3109	0193	-0.0156	0.1456
31.4753	0194	-0.0156	0.1456
31.6695	0195	-0.0156	0.1373
31.8402	0196	-0.0156	0.1373
31.9729	0197	-0.0156	0.1373
32.1854	0198	-0.0156	0.1373
32.3048	0199	-0.0156	0.1373
32.4688	0200	-0.0156	0.1373
32.6381	0201	-0.0353	0.1135
32.8042	0202	-0.0353	0.1135
32.9723	0203	-0.0353	0.1135
33.1340	0204	-0.0353	0.1135
33.2971	0205	-0.0353	0.1135
33.4674	0206	-0.0353	0.1135
33.6301	0207	-0.0574	0.1213
33.7976	0208	-0.0574	0.1406
