dt(cam)	frame	LO	AO
0.0000	0000	0.0436	0.0000
0.0217	0001	0.0436	0.0000
0.0391	0002	0.0436	0.0000
0.0394	0003	0.0436	0.0000
0.0396	0004	0.0436	0.0000
0.0561	0005	0.0436	0.0000
0.0588	0006	0.0436	0.0000
0.0656	0007	0.0436	0.0000
0.0920	0008	0.0436	0.0000
0.1013	0009	0.0436	0.0000
0.1028	0010	0.0436	0.0000
0.1271	0011	0.0436	-0.8185
0.1307	0012	0.0436	-0.8185
0.1312	0013	0.0436	-0.8185
0.1324	0014	0.0436	-0.8185
0.1334	0015	0.0436	-0.8185
0.1340	0016	0.0436	-0.8185
0.1349	0017	0.0436	-0.8185
0.1368	0018	0.0436	-0.8185
0.1393	0019	0.0436	-0.8185
0.1418	0020	0.0436	-0.8185
0.1466	0021	0.0436	-0.8185
0.1534	0022	0.0436	-0.8185
0.1543	0023	0.0436	-0.8185
0.1556	0024	0.0436	-0.8185
0.1575	0025	0.0436	-0.8185
0.1591	0026	0.0436	-0.8185
0.1809	0027	0.0436	-0.8185
0.1820	0028	0.0436	-0.8185
0.1830	0029	0.0436	-0.8185
0.1839	0030	0.0436	-0.8185
0.1847	0031	0.0436	-0.8185
0.1876	0032	0.0436	-0.8185
0.2140	0033	0.0436	-0.8185
0.2322	0034	0.0436	-0.8185
0.2347	0035	0.0436	-0.8185
0.2368	0036	0.0436	-0.8185
0.2472	0037	0.0436	-0.8185
0.2483	0038	0.0436	-0.8185
0.2513	0039	0.0436	-0.8185
0.2524	0040	0.0436	-0.8185
0.2535	0041	0.0436	-0.8185
0.2616	0042	0.0436	-0.8185
0.2618	0043	0.0436	-0.8185
0.2669	0044	0.0436	-0.8185
0.2675	0045	0.0436	-0.8185
0.2698	0046	0.0436	-0.8185
0.2710	0047	0.0436	-0.8185
0.5182	0050	0.0464	-1.7306
0.6703	0051	0.0464	-1.7306
0.8400	0052	0.0464	-1.7306
0.9954	0053	0.0464	-1.7306
1.1658	0054	0.0464	-1.7306
1.3339	0055	0.0464	-1.7306
1.5169	0056	0.0464	-1.7306
1.6621	0057	0.0445	0.2811
1.8286	0058	0.0445	0.2811
2.0199	0059	0.0445	0.2811
2.1613	0060	0.0445	0.2811
2.3519	0061	0.0445	0.2811
2.5230	0062	0.0494	-0.7075
2.6603	0063	0.0494	-0.7075
