dt(cam)	frame	LO	AO
0.0000	0000	0.1155	0.0000
0.1541	0001	0.1155	0.0000
0.3189	0002	0.1155	0.0000
0.4823	0003	0.1390	0.0000
0.6493	0004	0.1390	0.0000
0.8199	0005	0.1390	0.0000
1.0224	0006	0.1390	0.0000
1.1446	0007	0.1390	0.0000
1.3549	0008	0.1390	0.0000
1.4756	0009	0.1173	0.0000
1.6448	0010	0.1173	0.0000
1.8122	0011	0.1173	0.0000
1.9907	0012	0.1173	0.0000
2.1376	0013	0.1173	0.0000
2.3031	0014	0.1173	0.0000
2.4691	0015	0.1101	0.0000
2.6375	0016	0.1101	0.0000
2.8376	0017	0.1101	0.0000
2.9664	0018	0.1101	0.0000
3.1308	0019	0.1101	0.0000
3.2970	0020	0.1101	0.0000
3.4674	0021	0.1101	0.0000
3.6435	0022	0.1031	0.0000
3.8009	0023	0.1031	0.0000
3.9697	0024	0.1031	0.0000
4.1472	0025	0.1031	0.0000
4.3009	0026	0.1031	0.0000
4.4692	0027	0.1031	0.0000
4.6423	0028	0.0976	0.0000
4.8260	0029	0.0976	0.0000
5.0155	0030	0.0976	0.0000
5.1672	0031	0.0976	0.0000
5.3052	0032	0.0976	0.0000
5.5030	0033	0.0984	0.0000
5.6428	0034	0.0984	0.0000
5.8107	0035	0.0984	-0.8972
5.9772	0036	0.0984	-0.8972
6.1465	0037	0.0984	-0.8972
6.3128	0038	0.0984	-0.8972
6.4828	0039	0.0984	-0.8972
6.6490	0040	0.0970	0.0109
6.8599	0041	0.0970	0.0109
6.9838	0042	0.0970	0.0109
7.1536	0043	0.0970	0.0109
7.3186	0044	0.0970	0.0109
7.4886	0045	0.0809	0.0067
7.6561	0046	0.0809	0.0067
7.8518	0047	0.0809	0.0067
7.9910	0048	0.0809	0.0067
8.1582	0049	0.0809	0.0067
8.3249	0050	0.0809	0.0067
8.5105	0051	0.1073	-0.0022
8.6634	0052	0.1073	-0.0022
8.8556	0053	0.1073	-0.0022
8.9977	0054	0.1073	-0.0022
9.1650	0055	0.1073	-0.0022
9.3310	0056	0.1073	-0.0022
9.5025	0057	0.1073	-0.0022
9.6668	0058	0.1221	-0.0049
9.8370	0059	0.1221	-0.0049
10.0025	0060	0.1221	-0.0049
10.1704	0061	0.1221	-0.0049
10.3375	0062	0.1221	-0.0049
10.5044	0063	0.1221	-0.0049
10.6742	0064	0.1471	-0.0113
10.8415	0065	0.1471	-0.0113
11.0277	0066	0.1471	-0.0113
11.1768	0067	0.1471	-0.0113
11.3432	0068	0.1471	-0.0113
11.5132	0069	0.1471	-0.0113
11.6784	0070	0.1594	-0.0087
11.8682	0071	0.1594	-0.0087
12.0302	0072	0.1594	-0.0087
12.1799	0073	0.1594	-0.0087
12.3464	0074	0.1594	-0.0087
12.5318	0075	0.1376	-0.0029
12.6839	0076	0.1376	-0.0029
12.8705	0077	0.1376	-0.0029
13.0348	0078	0.1376	-0.0029
13.1837	0079	0.1376	-0.0029
13.3514	0080	0.1376	-0.0029
13.5335	0081	0.1216	0.0001
13.6903	0082	0.1216	0.0001
